Datum,we1_meter,we2_meter,general_meter,pv_meter,sum_meter
2025-08-06 19:18:07,30.027,2.682,119.401,202.93508372976157,-50.82508372976156
2025-08-06 19:33:07,30.038,2.682,121.794,202.9942903351381,-48.48029033513808
2025-08-06 19:48:06,30.062,2.682,124.191,202.9942903351381,-46.05929033513809
2025-08-06 20:03:06,30.09,2.682,126.581,202.9942903351381,-43.64129033513808
2025-08-06 20:18:06,30.122,2.699,128.971,202.9942903351381,-41.20229033513809
2025-08-06 20:33:08,30.139,2.7,131.368,202.9942903351381,-38.787290335138096
2025-08-06 20:48:06,30.158,2.702,133.754,202.9942903351381,-36.38029033513811
2025-08-06 21:03:07,30.186,2.704,135.303,202.9942903351381,-34.801290335138106
2025-08-06 21:18:07,30.209,2.704,135.365,202.9942903351381,-34.71629033513807
2025-08-06 21:33:08,30.221,2.704,135.38,202.9942903351381,-34.68929033513808
2025-08-06 21:48:07,30.251,2.704,135.395,202.9942903351381,-34.644290335138066
2025-08-06 22:03:07,30.289,2.704,,202.9942903351381,-34.606290335138084
2025-08-06 22:08:07,,,135.422,202.9942903351381,-34.5792903351381
2025-08-06 22:18:07,30.317,2.704,135.439,202.9942903351381,-34.53429033513811
2025-08-06 22:33:07,30.332,2.704,135.454,202.9942903351381,-34.50429033513808
2025-08-06 22:48:07,30.377,2.705,135.467,202.9942903351381,-34.44529033513808
2025-08-06 23:03:06,30.406,2.705,135.48,202.9942903351381,-34.40329033513811
2025-08-06 23:18:06,30.424,2.705,135.493,202.9942903351381,-34.3722903351381
2025-08-06 23:33:07,30.439,2.705,135.506,202.9942903351381,-34.34429033513808
2025-08-06 23:48:07,30.469,2.705,135.518,202.9942903351381,-34.30229033513808
2025-08-07 00:03:08,30.486,2.705,135.531,202.9942903351381,-34.27229033513808
2025-08-07 00:18:07,30.498,2.705,135.544,202.9942903351381,-34.247290335138075
2025-08-07 00:33:08,30.509,2.705,135.557,202.9942903351381,-34.2232903351381
2025-08-07 00:48:07,30.52,2.705,135.569,202.9942903351381,-34.20029033513811
2025-08-07 01:08:10,30.534,2.706,135.586,202.9942903351381,-34.16829033513807
2025-08-07 01:18:07,30.541,2.706,135.595,202.9942903351381,-34.152290335138105
2025-08-07 01:33:07,30.55,2.706,135.608,202.9942903351381,-34.130290335138085
2025-08-07 01:48:07,30.56,2.706,135.62,202.9942903351381,-34.10829033513809
2025-08-07 02:03:07,30.579,2.706,135.633,202.9942903351381,-34.07629033513808
2025-08-07 02:18:07,30.608,2.706,135.646,202.9942903351381,-34.03429033513811
2025-08-07 02:33:08,30.636,2.706,135.659,202.9942903351381,-33.99329033513811
2025-08-07 02:48:08,30.662,2.706,135.671,202.9942903351381,-33.9552903351381
2025-08-07 03:03:08,30.688,2.707,135.686,202.9942903351381,-33.91329033513807
2025-08-07 03:18:08,30.711,2.707,135.701,202.9942903351381,-33.87529033513809
2025-08-07 03:33:08,30.722,2.707,135.716,202.9942903351381,-33.84929033513808
2025-08-07 03:48:08,30.742,2.707,135.73,202.9942903351381,-33.815290335138116
2025-08-07 04:03:07,30.771,2.707,135.746,202.9942903351381,-33.77029033513807
2025-08-07 04:18:08,30.795,2.707,135.767,202.9942903351381,-33.725290335138084
2025-08-07 04:33:07,30.805,2.707,135.79,202.9942903351381,-33.6922903351381
2025-08-07 04:48:08,30.825,2.707,135.805,202.9942903351381,-33.6572903351381
2025-08-07 05:03:07,30.852,2.708,135.819,202.9942903351381,-33.6152903351381
2025-08-07 05:18:08,30.87,2.708,135.834,202.9942903351381,-33.58229033513808
2025-08-07 05:33:07,30.881,2.708,135.849,202.9942903351381,-33.5562903351381
2025-08-07 05:48:06,30.976,2.708,,202.9942903351381,-33.4612903351381
2025-08-07 05:48:07,,,135.866,202.9942903351381,-33.44429033513808
2025-08-07 06:03:07,,2.708,135.882,202.9942903351381,-33.42829033513809
2025-08-07 06:03:27,31.005,,,203.05208049533607,-33.45708049533607
2025-08-07 06:18:06,31.057,2.708,135.913,203.16756707988088,-33.489567079880885
2025-08-07 06:33:07,31.093,2.708,135.938,203.34056276911008,-33.6015627691101
2025-08-07 06:48:06,31.136,2.708,135.954,203.57078696338309,-33.77278696338308
2025-08-07 07:03:06,31.185,,135.971,203.8578662382149,-33.993866238214906
